exec,RunTS,SLURM_JOB_ID,NODES,MPI_RANKS,OMP_THREADS,OMP_PLACES,OMP_PROC_BIND,SizeX,SizeY,GridX,GridY,Niter,Nsources,Periodic,Phase,SlowestRank,Avg,Min,Max
01,2025-10-09T00:58:26Z,21351352,16,128,14,cores,close,15000,15000,16,8,500,4,Yes,Initialization,0.010290,0.010158,0.009605,0.010624
01,2025-10-09T00:58:26Z,21351352,16,128,14,cores,close,15000,15000,16,8,500,4,Yes,Total Iterations,1.376169,1.362914,1.349563,1.376169
01,2025-10-09T00:58:26Z,21351352,16,128,14,cores,close,15000,15000,16,8,500,4,Yes,Inject Energy,0.000043,0.000013,0.000011,0.000060
01,2025-10-09T00:58:26Z,21351352,16,128,14,cores,close,15000,15000,16,8,500,4,Yes,MPI Setup,0.008797,0.008900,0.007675,0.009939
01,2025-10-09T00:58:26Z,21351352,16,128,14,cores,close,15000,15000,16,8,500,4,Yes,Wait,0.030223,0.043820,0.009794,0.056413
01,2025-10-09T00:58:26Z,21351352,16,128,14,cores,close,15000,15000,16,8,500,4,Yes,Inner Update,1.265891,1.237831,1.231148,1.279639
01,2025-10-09T00:58:26Z,21351352,16,128,14,cores,close,15000,15000,16,8,500,4,Yes,Border Update,0.065583,0.066809,0.065546,0.067816
01,2025-10-09T00:58:26Z,21351352,16,128,14,cores,close,15000,15000,16,8,500,4,Yes,Update,1.331474,1.304640,1.296694,1.347456
01,2025-10-09T00:58:26Z,21351352,16,128,14,cores,close,15000,15000,16,8,500,4,Yes,Copy Buffers,0.004630,0.004679,0.004375,0.005093
01,2025-10-09T00:58:27Z,21351351,8,64,14,cores,close,15000,15000,8,8,500,4,Yes,Initialization,0.018697,0.019019,0.018524,0.019943
01,2025-10-09T00:58:27Z,21351351,8,64,14,cores,close,15000,15000,8,8,500,4,Yes,Total Iterations,2.726876,2.707213,2.694438,2.726876
01,2025-10-09T00:58:27Z,21351351,8,64,14,cores,close,15000,15000,8,8,500,4,Yes,Inject Energy,0.000011,0.000015,0.000011,0.000105
01,2025-10-09T00:58:27Z,21351351,8,64,14,cores,close,15000,15000,8,8,500,4,Yes,MPI Setup,0.010899,0.010964,0.009887,0.011968
01,2025-10-09T00:58:27Z,21351351,8,64,14,cores,close,15000,15000,8,8,500,4,Yes,Wait,0.074066,0.059220,0.006142,0.117467
01,2025-10-09T00:58:27Z,21351351,8,64,14,cores,close,15000,15000,8,8,500,4,Yes,Inner Update,2.560764,2.556929,2.506381,2.613164
01,2025-10-09T00:58:27Z,21351351,8,64,14,cores,close,15000,15000,8,8,500,4,Yes,Border Update,0.073538,0.073202,0.071816,0.075182
01,2025-10-09T00:58:27Z,21351351,8,64,14,cores,close,15000,15000,8,8,500,4,Yes,Update,2.634301,2.630132,2.578197,2.688346
01,2025-10-09T00:58:27Z,21351351,8,64,14,cores,close,15000,15000,8,8,500,4,Yes,Copy Buffers,0.006095,0.005912,0.005549,0.006460
01,2025-10-09T00:58:30Z,21351350,4,32,14,cores,close,15000,15000,8,4,500,4,Yes,Initialization,0.036186,0.036810,0.036176,0.037819
01,2025-10-09T00:58:30Z,21351350,4,32,14,cores,close,15000,15000,8,4,500,4,Yes,Total Iterations,5.356437,5.327337,5.299018,5.356437
01,2025-10-09T00:58:30Z,21351350,4,32,14,cores,close,15000,15000,8,4,500,4,Yes,Inject Energy,0.000098,0.000021,0.000011,0.000098
01,2025-10-09T00:58:30Z,21351350,4,32,14,cores,close,15000,15000,8,4,500,4,Yes,MPI Setup,0.022574,0.021587,0.019778,0.023291
01,2025-10-09T00:58:30Z,21351350,4,32,14,cores,close,15000,15000,8,4,500,4,Yes,Wait,0.024491,0.057443,0.015129,0.129904
01,2025-10-09T00:58:30Z,21351350,4,32,14,cores,close,15000,15000,8,4,500,4,Yes,Inner Update,5.207186,5.144672,5.062531,5.207186
01,2025-10-09T00:58:30Z,21351350,4,32,14,cores,close,15000,15000,8,4,500,4,Yes,Border Update,0.087086,0.087984,0.086924,0.089343
01,2025-10-09T00:58:30Z,21351350,4,32,14,cores,close,15000,15000,8,4,500,4,Yes,Update,5.294273,5.232656,5.149455,5.296529
01,2025-10-09T00:58:30Z,21351350,4,32,14,cores,close,15000,15000,8,4,500,4,Yes,Copy Buffers,0.013731,0.013899,0.013581,0.014365
01,2025-10-09T00:58:35Z,21351349,2,16,14,cores,close,15000,15000,4,4,500,4,Yes,Initialization,0.073146,0.076211,0.070828,0.086001
01,2025-10-09T00:58:35Z,21351349,2,16,14,cores,close,15000,15000,4,4,500,4,Yes,Total Iterations,10.501577,10.482670,10.468191,10.501577
01,2025-10-09T00:58:35Z,21351349,2,16,14,cores,close,15000,15000,4,4,500,4,Yes,Inject Energy,0.000093,0.000026,0.000011,0.000093
01,2025-10-09T00:58:35Z,21351349,2,16,14,cores,close,15000,15000,4,4,500,4,Yes,MPI Setup,0.024042,0.023335,0.022119,0.025144
01,2025-10-09T00:58:35Z,21351349,2,16,14,cores,close,15000,15000,4,4,500,4,Yes,Wait,0.092582,0.111357,0.018067,0.228687
01,2025-10-09T00:58:35Z,21351349,2,16,14,cores,close,15000,15000,4,4,500,4,Yes,Inner Update,10.270816,10.235292,10.137243,10.328415
01,2025-10-09T00:58:35Z,21351349,2,16,14,cores,close,15000,15000,4,4,500,4,Yes,Border Update,0.092300,0.092444,0.089399,0.095575
01,2025-10-09T00:58:35Z,21351349,2,16,14,cores,close,15000,15000,4,4,500,4,Yes,Update,10.363115,10.327736,10.226642,10.423990
01,2025-10-09T00:58:35Z,21351349,2,16,14,cores,close,15000,15000,4,4,500,4,Yes,Copy Buffers,0.018125,0.017769,0.016870,0.018693
01,2025-10-09T00:58:45Z,21351348,1,8,14,cores,close,15000,15000,4,2,500,4,Yes,Initialization,0.140392,0.143300,0.140392,0.145557
01,2025-10-09T00:58:45Z,21351348,1,8,14,cores,close,15000,15000,4,2,500,4,Yes,Total Iterations,20.820268,20.816092,20.811686,20.820268
01,2025-10-09T00:58:45Z,21351348,1,8,14,cores,close,15000,15000,4,2,500,4,Yes,Inject Energy,0.000093,0.000036,0.000011,0.000093
01,2025-10-09T00:58:45Z,21351348,1,8,14,cores,close,15000,15000,4,2,500,4,Yes,MPI Setup,0.039102,0.038816,0.038424,0.039102
01,2025-10-09T00:58:45Z,21351348,1,8,14,cores,close,15000,15000,4,2,500,4,Yes,Wait,0.199407,0.152278,0.061215,0.232454
01,2025-10-09T00:58:45Z,21351348,1,8,14,cores,close,15000,15000,4,2,500,4,Yes,Inner Update,20.423815,20.470253,20.387054,20.565559
01,2025-10-09T00:58:45Z,21351348,1,8,14,cores,close,15000,15000,4,2,500,4,Yes,Border Update,0.119424,0.116763,0.115705,0.119424
01,2025-10-09T00:58:45Z,21351348,1,8,14,cores,close,15000,15000,4,2,500,4,Yes,Update,20.543239,20.587016,20.502759,20.684983
01,2025-10-09T00:58:45Z,21351348,1,8,14,cores,close,15000,15000,4,2,500,4,Yes,Copy Buffers,0.035567,0.035271,0.034974,0.035688
