exec,RunTS,SLURM_JOB_ID,NODES,MPI_RANKS,OMP_THREADS,OMP_PLACES,OMP_PROC_BIND,SizeX,SizeY,GridX,GridY,Niter,Nsources,Periodic,Phase,SlowestRank,Avg,Min,Max
01,2025-10-09T01:11:10Z,21351401,1,8,14,cores,close,4000,4000,4,2,500,4,Yes,Initialization,0.010938,0.010938,0.010929,0.010966
01,2025-10-09T01:11:10Z,21351401,1,8,14,cores,close,4000,4000,4,2,500,4,Yes,Total Iterations,1.529983,1.526440,1.522893,1.529983
01,2025-10-09T01:11:10Z,21351401,1,8,14,cores,close,4000,4000,4,2,500,4,Yes,Inject Energy,0.000011,0.000025,0.000011,0.000049
01,2025-10-09T01:11:10Z,21351401,1,8,14,cores,close,4000,4000,4,2,500,4,Yes,MPI Setup,0.009001,0.009021,0.008527,0.010154
01,2025-10-09T01:11:10Z,21351401,1,8,14,cores,close,4000,4000,4,2,500,4,Yes,Wait,0.018866,0.026258,0.002901,0.043270
01,2025-10-09T01:11:10Z,21351401,1,8,14,cores,close,4000,4000,4,2,500,4,Yes,Inner Update,1.428017,1.417417,1.401396,1.443308
01,2025-10-09T01:11:10Z,21351401,1,8,14,cores,close,4000,4000,4,2,500,4,Yes,Border Update,0.067461,0.067215,0.066890,0.068016
01,2025-10-09T01:11:10Z,21351401,1,8,14,cores,close,4000,4000,4,2,500,4,Yes,Update,1.495477,1.484632,1.468286,1.511324
01,2025-10-09T01:11:10Z,21351401,1,8,14,cores,close,4000,4000,4,2,500,4,Yes,Copy Buffers,0.005651,0.005471,0.005322,0.005651
01,2025-10-09T01:11:11Z,21351403,4,32,14,cores,close,8000,8000,8,4,500,4,Yes,Initialization,0.010717,0.010771,0.010635,0.011199
01,2025-10-09T01:11:11Z,21351403,4,32,14,cores,close,8000,8000,8,4,500,4,Yes,Total Iterations,1.585058,1.575232,1.565689,1.585058
01,2025-10-09T01:11:11Z,21351403,4,32,14,cores,close,8000,8000,8,4,500,4,Yes,Inject Energy,0.000052,0.000015,0.000011,0.000052
01,2025-10-09T01:11:11Z,21351403,4,32,14,cores,close,8000,8000,8,4,500,4,Yes,MPI Setup,0.011759,0.011550,0.009206,0.033417
01,2025-10-09T01:11:11Z,21351403,4,32,14,cores,close,8000,8000,8,4,500,4,Yes,Wait,0.022900,0.073663,0.022900,0.087008
01,2025-10-09T01:11:11Z,21351403,4,32,14,cores,close,8000,8000,8,4,500,4,Yes,Inner Update,1.476425,1.416129,1.405211,1.476425
01,2025-10-09T01:11:11Z,21351403,4,32,14,cores,close,8000,8000,8,4,500,4,Yes,Border Update,0.066742,0.067310,0.066668,0.068222
01,2025-10-09T01:11:11Z,21351403,4,32,14,cores,close,8000,8000,8,4,500,4,Yes,Update,1.543167,1.483440,1.471879,1.544647
01,2025-10-09T01:11:11Z,21351403,4,32,14,cores,close,8000,8000,8,4,500,4,Yes,Copy Buffers,0.005536,0.005522,0.005244,0.005731
01,2025-10-09T01:13:13Z,21351402,2,16,14,cores,close,8000,4000,4,4,500,4,Yes,Initialization,0.012637,0.014946,0.010593,0.024536
01,2025-10-09T01:13:13Z,21351402,2,16,14,cores,close,8000,4000,4,4,500,4,Yes,Total Iterations,1.553619,1.543737,1.532111,1.553619
01,2025-10-09T01:13:13Z,21351402,2,16,14,cores,close,8000,4000,4,4,500,4,Yes,Inject Energy,0.000074,0.000023,0.000011,0.000078
