exec,RunTS,SLURM_JOB_ID,NODES,MPI_RANKS,OMP_THREADS,OMP_PLACES,OMP_PROC_BIND,SizeX,SizeY,GridX,GridY,Niter,Nsources,Periodic,Rank,Total,Init,Iter,Inject,MPIsetup,Wait,InnerUpdate,BorderUpdate,Update,CopyBuffers
01,2025-10-09T01:23:40Z,546661,1,1,1,cores,close,10000,10000,1,1,750,4,Yes,0,129.018740,0.532194,128.486546,0.000363,0.000430,0.000799,127.633912,0.849522,128.483434,0.000967
01,2025-10-09T01:25:01Z,546662,1,1,2,cores,close,10000,10000,1,1,750,4,Yes,0,69.493132,0.288272,69.204860,0.000424,0.000531,0.000787,68.682519,0.518995,69.201513,0.001002
01,2025-10-09T01:26:03Z,546663,1,1,4,cores,close,10000,10000,1,1,750,4,Yes,0,55.250440,0.171380,55.079060,0.000441,0.000552,0.000627,54.714972,0.361177,55.076149,0.000783
01,2025-10-09T01:27:06Z,546665,1,1,8,cores,close,10000,10000,1,1,750,4,Yes,0,54.871631,0.121657,54.749973,0.000469,0.000525,0.000569,54.317923,0.429328,54.747252,0.000699
01,2025-10-09T01:28:02Z,546666,1,1,16,cores,close,10000,10000,1,1,750,4,Yes,0,49.000103,0.101641,48.898462,0.000446,0.000523,0.000604,48.398704,0.497023,48.895727,0.000726
01,2025-10-09T01:28:34Z,546667,1,1,32,cores,close,10000,10000,1,1,750,4,Yes,0,24.807227,0.061228,24.745998,0.000483,0.000564,0.000827,24.275585,0.467262,24.742846,0.000732
01,2025-10-09T01:28:56Z,546668,1,1,56,cores,close,10000,10000,1,1,750,4,Yes,0,14.552905,0.059656,14.493249,0.000462,0.000542,0.000681,13.998073,0.492288,14.490361,0.000759
01,2025-10-09T01:29:13Z,546669,1,1,84,cores,close,10000,10000,1,1,750,4,Yes,0,9.992633,0.069676,9.922957,0.000425,0.000517,0.000888,9.300058,0.619290,9.919348,0.001084
01,2025-10-09T01:29:28Z,546671,1,1,112,cores,close,10000,10000,1,1,750,4,Yes,0,7.858684,0.073190,7.785494,0.000494,0.000561,0.000921,7.094585,0.687313,7.781899,0.001058
02,2025-10-09T01:33:05Z,546928,1,1,1,cores,close,10000,10000,1,1,750,4,Yes,0,208.710873,0.526539,208.184334,0.000418,0.000509,0.000861,207.322574,0.858425,208.180999,0.000931
02,2025-10-09T01:35:15Z,546929,1,1,2,cores,close,10000,10000,1,1,750,4,Yes,0,111.964572,0.286269,111.678303,0.000433,0.000543,0.000688,111.159983,0.515201,111.675184,0.000736
02,2025-10-09T01:36:32Z,546930,1,1,4,cores,close,10000,10000,1,1,750,4,Yes,0,69.251410,0.179736,69.071674,0.000440,0.000554,0.000719,68.689889,0.378755,69.068644,0.000643
02,2025-10-09T01:37:34Z,546931,1,1,8,cores,close,10000,10000,1,1,750,4,Yes,0,56.581241,0.128276,56.452965,0.000357,0.000430,0.000554,56.012481,0.437784,56.450266,0.000694
02,2025-10-09T01:38:32Z,546932,1,1,16,cores,close,10000,10000,1,1,750,4,Yes,0,50.572339,0.100032,50.472307,0.000396,0.000464,0.000617,49.995580,0.474125,50.469705,0.000620
02,2025-10-09T01:39:05Z,546934,1,1,32,cores,close,10000,10000,1,1,750,4,Yes,0,25.739524,0.064797,25.674727,0.000394,0.000465,0.000602,25.211823,0.460200,25.672023,0.000681
02,2025-10-09T01:39:27Z,546935,1,1,56,cores,close,10000,10000,1,1,750,4,Yes,0,14.963603,0.061304,14.902299,0.000565,0.000654,0.000664,14.417996,0.481320,14.899316,0.000691
02,2025-10-09T01:39:45Z,546936,1,1,84,cores,close,10000,10000,1,1,750,4,Yes,0,10.373441,0.069608,10.303833,0.000439,0.000525,0.000940,9.690912,0.609111,10.300023,0.001373
02,2025-10-09T01:40:01Z,546937,1,1,112,cores,close,10000,10000,1,1,750,4,Yes,0,8.084656,0.076160,8.008496,0.000475,0.000641,0.000903,7.329789,0.675510,8.005299,0.000699
